ticker,amount,ex_date,pay_date,asof_date,source
CHPY,0.3851,,,2026-03-17,@YieldMaxETFs tweet 2033860990639411679
FEAT,0.2016,,,2026-03-17,@YieldMaxETFs tweet 2033860990639411679
FIVY,0.1533,,,2026-03-17,@YieldMaxETFs tweet 2033860990639411679
GPTY,0.2224,,,2026-03-17,@YieldMaxETFs tweet 2033860990639411679
LFGY,0.2369,,,2026-03-17,@YieldMaxETFs tweet 2033860990639411679
MINY,0.2666,,,2026-03-17,@YieldMaxETFs tweet 2033860990639411679
QDTY,0.3344,,,2026-03-17,@YieldMaxETFs tweet 2033860990639411679
RDTY,0.3147,,,2026-03-17,@YieldMaxETFs tweet 2033860990639411679
SDTY,0.3153,,,2026-03-17,@YieldMaxETFs tweet 2033860990639411679
SLTY,0.3948,,,2026-03-17,@YieldMaxETFs tweet 2033860990639411679
ULTY,0.4066,,,2026-03-17,@YieldMaxETFs tweet 2033860990639411679
YMAG,0.0873,,,2026-03-17,@YieldMaxETFs tweet 2033860990639411679
YBTC,0.164642,2026-03-18,2026-03-19,2026-03-17,@roundhill tweet 2033861098365964607
YETH,0.105052,2026-03-18,2026-03-19,2026-03-17,@roundhill tweet 2033861098365964607
